Tiempo ,Entrada,ANGULO,POSICION
14.7,0.0,0.239,0.263
14.72,0.0,0.291,0.263
14.74,0.0,0.34,0.263
14.76,0.0,0.382,0.263
14.78,0.0,0.421,0.263
14.8,0.0,0.452,0.263
14.82,0.0,0.478,0.263
14.84,0.0,0.496,0.263
14.86,0.0,0.508,0.263
14.88,0.0,0.511,0.263
14.9,0.0,0.511,0.263
14.92,0.0,0.501,0.263
14.94,0.0,0.483,0.263
14.96,0.0,0.459,0.263
14.98,0.0,0.429,0.263
15.0,0.0,0.393,0.263
15.02,0.0,0.351,0.263
15.04,0.0,0.304,0.263
15.06,0.0,0.253,0.263
15.08,0.0,0.197,0.263
15.1,0.0,0.14,0.263
15.12,0.0,0.08,0.263
15.14,0.0,0.019,0.263
15.16,0.0,-0.042,0.263
15.18,0.0,-0.101,0.263
15.2,0.0,-0.161,0.263
15.22,0.0,-0.216,0.263
15.24,0.0,-0.271,0.263
15.26,0.0,-0.321,0.263
15.28,0.0,-0.365,0.263
15.3,0.0,-0.405,0.263
15.32,0.0,-0.44,0.263
15.34,0.0,-0.468,0.263
15.36,0.0,-0.489,0.263
15.38,0.0,-0.503,0.263
15.4,0.0,-0.511,0.263
15.42,0.0,-0.513,0.263
15.44,0.0,-0.506,0.263
15.46,0.0,-0.492,0.263
15.48,0.0,-0.471,0.263
15.5,0.0,-0.443,0.263
15.52,0.0,-0.41,0.263
15.54,0.0,-0.37,0.263
15.56,0.0,-0.325,0.263
15.58,0.0,-0.276,0.263
15.6,0.0,-0.222,0.263
15.62,0.0,-0.166,0.263
15.64,0.0,-0.106,0.263
15.66,0.0,-0.047,0.263
15.68,0.0,0.012,0.263
15.7,0.0,0.073,0.263
15.72,0.0,0.133,0.263
15.74,0.0,0.19,0.263
15.76,0.0,0.244,0.263
15.78,0.0,0.297,0.263
15.8,0.0,0.344,0.263
15.82,0.0,0.386,0.263
15.84,0.0,0.422,0.263
15.86,0.0,0.454,0.263
15.88,0.0,0.478,0.263
15.9,0.0,0.494,0.263
15.92,0.0,0.506,0.263
15.94,0.0,0.51,0.263
15.96,0.0,0.506,0.263
15.98,0.0,0.496,0.263
16.0,0.0,0.478,0.263
16.02,0.0,0.454,0.263
16.04,0.0,0.422,0.263
16.06,0.0,0.384,0.263
16.08,0.0,0.342,0.263
16.1,0.0,0.295,0.263
16.12,0.0,0.243,0.263
16.14,0.0,0.188,0.263
16.16,0.0,0.131,0.263
16.18,0.0,0.072,0.263
16.2,0.0,0.01,0.263
16.22,0.0,-0.049,0.263
16.24,0.0,-0.108,0.263
16.26,0.0,-0.168,0.263
16.28,0.0,-0.223,0.263
16.3,0.0,-0.276,0.263
16.32,0.0,-0.325,0.263
16.34,0.0,-0.37,0.263
