Tiempo ,Entrada,ANGULO,POSICION
12.6,0.0,0.309,0.272
12.62,0.0,0.36,0.272
12.64,0.0,0.405,0.272
12.66,0.0,0.445,0.272
12.68,0.0,0.478,0.272
12.7,0.0,0.504,0.272
12.72,0.0,0.524,0.272
12.74,0.0,0.536,0.272
12.76,0.0,0.539,0.272
12.78,0.0,0.538,0.272
12.8,0.0,0.529,0.272
12.82,0.0,0.51,0.272
12.84,0.0,0.483,0.272
12.86,0.0,0.452,0.272
12.88,0.0,0.414,0.272
12.9,0.0,0.368,0.272
12.92,0.0,0.318,0.272
12.94,0.0,0.264,0.272
12.96,0.0,0.206,0.272
12.98,0.0,0.147,0.272
13.0,0.0,0.084,0.272
13.02,0.0,0.019,0.272
13.04,0.0,-0.045,0.272
13.06,0.0,-0.108,0.272
13.08,0.0,-0.171,0.272
13.1,0.0,-0.232,0.272
13.12,0.0,-0.288,0.272
13.14,0.0,-0.339,0.272
13.16,0.0,-0.387,0.272
13.18,0.0,-0.429,0.272
13.2,0.0,-0.466,0.272
13.22,0.0,-0.496,0.272
13.24,0.0,-0.518,0.272
13.26,0.0,-0.532,0.272
13.28,0.0,-0.541,0.272
13.3,0.0,-0.541,0.272
13.32,0.0,-0.534,0.272
13.34,0.0,-0.52,0.272
13.36,0.0,-0.497,0.272
13.38,0.0,-0.468,0.272
13.4,0.0,-0.433,0.272
13.42,0.0,-0.389,0.272
13.44,0.0,-0.344,0.272
13.46,0.0,-0.291,0.272
13.48,0.0,-0.236,0.272
13.5,0.0,-0.175,0.272
13.52,0.0,-0.113,0.272
13.54,0.0,-0.049,0.272
13.56,0.0,0.014,0.272
13.58,0.0,0.079,0.272
13.6,0.0,0.141,0.272
13.62,0.0,0.202,0.272
13.64,0.0,0.26,0.272
13.66,0.0,0.314,0.272
13.68,0.0,0.365,0.272
13.7,0.0,0.408,0.272
13.72,0.0,0.447,0.272
13.74,0.0,0.48,0.272
13.76,0.0,0.504,0.272
13.78,0.0,0.522,0.272
13.8,0.0,0.534,0.272
13.82,0.0,0.538,0.272
13.84,0.0,0.536,0.272
13.86,0.0,0.522,0.272
13.88,0.0,0.504,0.272
13.9,0.0,0.478,0.272
13.92,0.0,0.445,0.272
13.94,0.0,0.405,0.272
13.96,0.0,0.361,0.272
13.98,0.0,0.311,0.272
14.0,0.0,0.257,0.272
14.02,0.0,0.199,0.272
14.04,0.0,0.138,0.272
14.06,0.0,0.073,0.272
14.08,0.0,0.01,0.272
14.1,0.0,-0.052,0.272
14.12,0.0,-0.115,0.272
14.14,0.0,-0.178,0.272
14.16,0.0,-0.237,0.272
14.18,0.0,-0.293,0.272
14.2,0.0,-0.344,0.272
14.22,0.0,-0.391,0.272
14.24,0.0,-0.433,0.272
14.26,0.0,-0.468,0.272
14.28,0.0,-0.496,0.272
14.3,0.0,-0.518,0.272
14.32,0.0,-0.531,0.272
14.34,0.0,-0.538,0.272
14.36,0.0,-0.539,0.272
14.38,0.0,-0.531,0.272
14.4,0.0,-0.515,0.272
14.42,0.0,-0.492,0.272
14.44,0.0,-0.463,0.272
14.46,0.0,-0.424,0.272
14.48,0.0,-0.382,0.272
14.5,0.0,-0.335,0.272
14.52,0.0,-0.283,0.272
14.54,0.0,-0.225,0.272
14.56,0.0,-0.166,0.272
14.58,0.0,-0.105,0.272
14.6,0.0,-0.042,0.272
14.62,0.0,0.023,0.272
14.64,0.0,0.086,0.272
14.66,0.0,0.148,0.272
14.68,0.0,0.208,0.272
14.7,0.0,0.265,0.272
14.72,0.0,0.318,0.272
14.74,0.0,0.368,0.272
14.76,0.0,0.41,0.272
14.78,0.0,0.449,0.272
14.8,0.0,0.48,0.272
14.82,0.0,0.504,0.272
14.84,0.0,0.522,0.272
14.86,0.0,0.532,0.272
14.88,0.0,0.534,0.272
14.9,0.0,0.531,0.272
14.92,0.0,0.518,0.272
14.94,0.0,0.499,0.272
14.96,0.0,0.471,0.272
14.98,0.0,0.438,0.272
15.0,0.0,0.398,0.272
15.02,0.0,0.353,0.272
15.04,0.0,0.302,0.272
15.06,0.0,0.248,0.272
15.08,0.0,0.19,0.272
15.1,0.0,0.129,0.272
15.12,0.0,0.066,0.272
15.14,0.0,0.003,0.272
15.16,0.0,-0.061,0.272
15.18,0.0,-0.124,0.272
15.2,0.0,-0.185,0.272
15.22,0.0,-0.243,0.272
15.24,0.0,-0.298,0.272
15.26,0.0,-0.349,0.272
15.28,0.0,-0.394,0.272
15.3,0.0,-0.435,0.272
15.32,0.0,-0.468,0.272
15.34,0.0,-0.496,0.272
15.36,0.0,-0.517,0.272
15.38,0.0,-0.529,0.272
15.4,0.0,-0.534,0.272
15.42,0.0,-0.534,0.272
15.44,0.0,-0.525,0.272
15.46,0.0,-0.51,0.272
15.48,0.0,-0.485,0.272
15.5,0.0,-0.456,0.272
15.52,0.0,-0.417,0.272
15.54,0.0,-0.375,0.272
15.56,0.0,-0.326,0.272
15.58,0.0,-0.274,0.272
15.6,0.0,-0.216,0.272
15.62,0.0,-0.159,0.272
15.64,0.0,-0.096,0.272
15.66,0.0,-0.033,0.272
15.68,0.0,0.031,0.272
15.7,0.0,0.093,0.272
15.72,0.0,0.155,0.272
15.74,0.0,0.215,0.272
15.76,0.0,0.271,0.272
15.78,0.0,0.323,0.272
15.8,0.0,0.372,0.272
15.82,0.0,0.414,0.272
15.84,0.0,0.45,0.272
15.86,0.0,0.482,0.272
15.88,0.0,0.504,0.272
15.9,0.0,0.52,0.272
15.92,0.0,0.531,0.272
15.94,0.0,0.532,0.272
15.96,0.0,0.527,0.272
15.98,0.0,0.513,0.272
16.0,0.0,0.492,0.272
16.02,0.0,0.464,0.272
16.04,0.0,0.431,0.272
16.06,0.0,0.391,0.272
16.08,0.0,0.344,0.272
16.1,0.0,0.293,0.272
16.12,0.0,0.239,0.272
16.14,0.0,0.18,0.272
16.16,0.0,0.12,0.272
